Job_offer,Label
"Openjobmetis SpA ricerca, per importante azienda multinazionale leader nel settore sanitario e ospedaliero, un Software Developer. La risorsa, all'interno del team di R&D, si occuperà dello sviluppo, modellazione e manutenzione dei software e dei servizi per il sistema sanitario. Si interfaccerà inoltre con tutte le aree funzionali convolte dalla progettazione, sino allo sviluppo e manutenzione dei prodotti. Requisiti richiesti: - Laurea in Ingegneria Informatica, Matematica, Fisica o equipollenti; - Esperienza di sviluppo in Java (2-3 anni); - Esperienza di sviluppo su database relazionali e conoscenza SQL - conoscenza su soluzioni software Object Oriented e sui Design Pattern; - Buona conoscenza dell'inglese; Costituiscono titoli preferenziali ma non obbligatori: - Conoscenza di RDBMS Oracle, SQL e linguaggio PL/SQL; - Conoscenza di Javascript; - Esperienza di sviluppo con strumenti di middleware",Java Developer
"La persona prescelta, diplomata o laureata in materie informatiche, avrà l'opportunità di entrare a far parte di una realtà riconosciuta e premiata a livello internazionale, che collabora con Brand leader di settore come Bulgari, Mercedes-Benz, Mediaset, Muller e molti altri ancora. Potrà sperimentarsi in un contesto che spicca per creatività e non convenzionalità, al fianco di talenti capaci di sviluppare esperienze digitali in grado di lasciare il segno nel cuore delle persone. Si metterà alla prova quotidianamente con tecnologie all'avanguardia, prendendo parte alla creazione di contenuti dal design innovativo capaci di sorprendere l'utente e di offrirgli un'esperienza magica.

   Inserita all'interno del team di progettazione e sviluppo e a diretto riporto dell'Head of Back End, si occuperà della realizzazione di web application complesse, focalizzandosi sulla programmazione back end e confrontandosi con i colleghi dell'area front end. Interpreterà i bisogni del cliente e sarà responsabile della consegna dei lavori assegnati nei tempi previsti, identificando possibili criticità e ricercando le soluzioni più adatte per ovviarle.",Software Engineer
"Sei un informatico o matematico con la passione per la progettazione software e linguaggi di alto livello?
   Ti piacerebbe lavorare nel Team di Ricerca e Sviluppo di un'importante azienda leader nel suo settore ed appartenente al comparto dell'automazione? Siamo alla ricerca di un, Valutiamo con interesse neolaureati in Informatica/Ingegneria Informatica/Elettronica/Meccatronica o in Matematica, in alternativa valutiamo profili con qualche anno di esperienza (anche periti informatici)
   Le risorse verranno inserite nel Team ufficio Software composto da sei risorse coordinate dalla Direzione Tecnica e si occuperanno di sviluppare software per macchine del comparto automazione.
   È necessario avere una buona conoscenza dei seguenti programmi: Visual studio, .NET Framework, Linguaggio C#, WPF con pattern MVVM, WCF, Web Services, Linq, Html, TFS, HMI, C++.",Software Engineer
"Ti occuperai della progettazione, realizzazione e manutenzione di siti web, servizi e di API.
   Sarai il responsabile della nuova area ""WebDev"" del Gruppo e ti occuperai di
   - Analisi e sviluppo ecommerce su piattaforma Woocommerce in team con il PM di progetto e il team di marketing
   - Implementazione di nuovi moduli e funzionalità
   - Import ed export di dati, configurazioni flussi e-commerce, gateway di pagamento, tool di marketing automation
   - Sviluppo software di backend (API e interfacce web)
   - Partecipare al processo di evoluzione di un'infrastruttura service oriented.

   Nelle attività quotidiane collaborarai con il team marketing alla definizione della tecnologia e l'innovazione.",Programmer
"Stiamo cercando uno\una sviluppatore\sviluppatrice Senior con le seguenti competenze: Senior C# Developer - ASP.NET - Entity framework and SOLID programming principles are a plus Microsoft SQL Server Web technology - HTML - CSS - Javascript - VueJS is a plus Microsoft Visual Studio Version Control System - Git SCRUM methodology (as team member) - JIRA tool, Job Description: Il Senior.NET Developer si concentra sulla progettazione, lo sviluppo di soluzioni aziendali e altri progetti di sviluppo di applicazioni personalizzate utilizzando .NET Framework, C #, ASP.NET, MS SQL Server e altri componenti avanzati della tecnologia Microsoft, utilizzando anche metodologie agile. Il ruolo prevede il coinvolgimento in progetti/servizi complessi presso i nostri principali clienti con lâ€(TM)obiettivo di supportare lâ€(TM)implementazione e lâ€(TM)evoluzione dei processi e dei sistemi dellâ€(TM)area di riferimento. â€¢ Timing Application: 15/01/2021 â€"" 30/03/2021 â€¢ Place of work: Arezzo â€"" Firenze â€¢ Working time: Full Time â€¢ Type of contract: Indeterminato About You: Sei uno sviluppatore di software di talento che è in grado di comunicare chiaramente con un pubblico tecnico e non? Sei appassionato di tecnologia ed hai una forte sensibilità aziendale e la capacità di relazionarti bene con i clienti? Your Technical Background Likely Includes, tecnologico Microsoft â€¢ Creare specifiche tecniche basate su requisiti funzionali â€¢ Progettare e costruire test di applicazione / unità secondo un determinato piano di test â€¢ Interfacciarsi direttamente con i clienti, raccogliendo feedback e discutendo della progettazione tecnica â€¢ Lavorare come membro di un team di sviluppo software ad alte prestazioni â€¢ Agire come un collaboratore chiave in un team agile, eseguendo sprint su applicazioni nuove ed esistenti Lâ€(TM)inquadramento e la retribuzione saranno commisurate alle effettive capacità ed esperienze del candidato. Unisciti al nostro team, i talenti sono la nostra forza! Si precisa che non saranno prese in considerazione le candidature prive di: â€¢ autorizzazione al trattamento dei dati personali ai sensi dellâ€(TM)art. 13 GDPR 679/16 â€¢ firma a convalida della suddetta liberatoria. Si riporta di seguito un esempio di liberatoria: â€œAutorizzo il trattamento dei miei dati personali
   ai sensi dellâ€(TM)art. 13 GDPR 679/16 â€"" â€œRegolamento europeo sulla protezione dei dati personaliâ€.â€ Rif. D PROG 2021
   Contatta l'utente
   Contatta l'utente, LA RISORSA UMANA.IT Divisione Recruitment ricerca per innovativa realtà nell'ambito dello sviluppo di piattaforme di formazione online La Risorsa si occuperà di: - Realizzazione siti web e realizzazione applicativi mobile - gestione ed implementazione delle piattaforme già esistenti - analisi dell'esigenza del cliente e proposizione della soluzione migliore La Risorsa ideale ha i seguenti requisiti: - titolo di studio in ambito informatico o esperienza assimilata - conoscenza di PHP e framework Laravel - conoscenza di javascript, HTML, CSS - conoscenza di database relazionali (MySQL) - esperienza nell'utilizzo del cms Wordpress Si offre iniziale inserimento in stage. Sede di lavoro: Firenze Clicca sul link sottostante ""sito web"" per inviarci la tua candidatura.
   Contatta l'utente, Azienda di importanza Nazionale, ricerca un programmatore C# .NET con esperienza. Il candidato si occuperà di analisi, progettazione e sviluppo di nuove applicazioni web, in ambiente Visual Studio. Requisiti richiesti Almeno 3 anni di esperienza in analoga mansione Ottima conoscenza del linguaggio C#, HTML 5, Sql Server Jquery, Json, Ottima conoscenza di .Net framework 3.5 e successivi Capacità di lavorare in Team Buona capacità di adattamento e flessibilità nel ruolo e nella mansione Capacità di problem solving Orientamento all'obiettivo e al risultato Gradita conoscenza di: Javascript e Bootstrap. Programmazione microcontrollori in C++ Completano il profilo spirito di iniziativa e autonomia nello svolgimento del progetto assegnato Assunzione a tempo indeterminato direttamente da parte del cliente e RAL al di sopra della media del mercato. L'offerta di lavoro si intende rivolta all'uno e all'altro sesso in ottemperanza al D.Lgs. 198/2006.
   Contatta l'utente, Grazie per averci aiutato a far rispettare le regole di pubblicazione degli annunci.
   ×

   Segnalazione già inviata!

   Grazie per averci aiutato a far rispettare le regole di pubblicazione degli annunci.
   ×

   Spiacenti, l'invio della segnalazione non è riuscito

   Riprova, oppure contatta l'Assistenza Clienti
   ×, Ho letto l'informativa sulla Privacy
   Do il mio consenso per ricevere email con offerte relative a Kijiji
   Do il mio consenso per ricevere email promozionali da parte di terzi, incluse società del gruppo eBay
   Conferma di non essere un robot! Cliccando su ""Invia"" accetti queste condizioni del sito.",Programmer
Job description: Stiamo cercando uno sviluppatore con una consolidata esperienza in C++,Software Engineer
"* installazione, manutenzione e supervisione dei sistemi operativi e degli applicativi;
     * controllare e garantire le performance dei servizi e delle reti proponendo best practices da adottare;
     * configurare e ottimizzare i server web, i database, i file server e gli altri applicativi installati.",System Analyst
"Stiamo rafforzando il nostro team di sviluppo front-end, e stiamo cercando professionisti da inserire in due progetti sfidanti, innovativi e di rilievo, presso due dei nostri clienti più importanti: uno dei più importanti operatori di telecomunicazioni a livello internazionale e un colosso bancario internazionale. Crediamo nel valore che ciascuno può dare nel contesto di un team affiatato e per questo motivo investiamo continuamente nella formazione: qui da noi avrai la possibilità di crescere e perfezionare le tue skills tecniche o arricchire il tuo bagaglio attraverso percorsi individuali e programmi esclusivi Ti unirai a gruppi di lavoro appassionati e coesi che collaborano quotidianamente per fornire le migliori soluzioni ai nostri clienti. Farai parte di una community internazionale attiva in oltre 20 paesi, e potrai confrontarti con professionisti provenienti da tutto il mondo. Avrai le tue reponsabilità e collaborerai con il team di riferimento nella definizione delle
   soluzioni. Lavorerai su uno stack tecnologico moderno e in continua evoluzione. Questo è quello che cerchiamo in te: * esperienza su ReactJS / Redux; * consolidata esperienza su .Net CORE e asp.net MVC CORE; * esperienza in javascript, typescript, HTML, CSS; * padronanza della lingua inglese parlata e scritta Se pensi che questa possa essere l'opportunità giusta per te, come and join us! #weareAvanade #AvanadeProud #Avanadefamily #orangefamily

   Employment Transparency Avanade® Is An Equal Opportunity Employer. Avanade prohibits discrimination and harassment against any employee or applicant for employment because of race, color, age, religion, sex, national origin, gender identity or expression, sexual orientation, disability, veteran, military or marital status, genetic information or any other protected status.

   The EEO is the Law poster is available here

   and poster supplement is available here

   The Pay Transparency Policy is available here

   Avanade is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation due to a disability for any part of the employment process, please send an e-mail to Avanade at careers@avanade.com or call (206) 239-5610 and let us know the nature of your request and your contact information.",Web Developer
"* Realizzare lo studio di fattibilità progettuale iniziale delle richieste di sviluppo e personalizzazione di nuovi software, applicazioni e sistemi IoT e/o di modifica di quelli già esistenti per i prodotti elettronici della B.U. Distribuzione Energia
     * Coordinare le attività di sviluppo dei software e delle APP di competenza, valutando le scelte tecnologiche, trasmettendo le relative specifiche, garantendo la realizzazione dei test e intervenendo nella definizione di eventuali modifiche da apportare
     * Partecipare a gruppi di lavoro interfunzionali su temi legati all'innovazione e supportare lo sviluppo di soluzioni tecnologiche innovative",Software Engineer
La risorsa si occuperà della scrittura dei software PLC per l'azienda cliente.,Programmer
